taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600004,Engraulis ringens,Anchoveta,Peru,Chile,10,2010,Tresh_one
600004,Engraulis ringens,Anchoveta,Chile,Peru,10,2010,Tresh_one
600004,Engraulis ringens,Anchoveta,Peru,Chile,10,2049,Tresh_two
600004,Engraulis ringens,Anchoveta,Chile,Peru,10,2049,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Greece,Albania,10,2068,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Albania,Greece,10,2068,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Italy,Albania,10,2067,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Albania,Italy,10,2067,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Niue (New Zealand),American Samoa,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Niue (New Zealand),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Niue (New Zealand),American Samoa,10,2011,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Niue (New Zealand),10,2011,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Samoa,American Samoa,10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Samoa,10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Samoa,American Samoa,10,2073,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Samoa,10,2073,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Tokelau (New Zealand),American Samoa,10,2031,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Tokelau (New Zealand),10,2031,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Tokelau (New Zealand),American Samoa,10,2097,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Tokelau (New Zealand),10,2097,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Tonga,American Samoa,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Tonga,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Tonga,American Samoa,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,American Samoa,Tonga,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Indian Ocean),Andaman & Nicobar Isl. (India),10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Indian Ocean),Andaman & Nicobar Isl. (India),10,2017,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Andaman & Nicobar Isl. (India),Indonesia (Indian Ocean),10,2017,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Myanmar,Andaman & Nicobar Isl. (India),10,2037,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Andaman & Nicobar Isl. (India),Myanmar,10,2037,Tresh_one
