comparrison,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference
Australia and New Zealand-Eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,1314.683597390494,1419.8723871632358,FALSE
Australia and New Zealand-Eastern Europe,Multiple comparison test after Kruskal-Wallis,0.05,468.26953697883937,1507.3726248979167,FALSE
Australia and New Zealand-Latin America and the Caribbean,Multiple comparison test after Kruskal-Wallis,0.05,94.80679312853226,1338.94611780162,FALSE
Australia and New Zealand-Melanesia,Multiple comparison test after Kruskal-Wallis,0.05,40.42065749960466,1465.5311278715837,FALSE
Australia and New Zealand-Micronesia,Multiple comparison test after Kruskal-Wallis,0.05,470.9945471787578,1706.427863745126,FALSE
Australia and New Zealand-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,353.43988998783516,1376.072336363042,FALSE
Australia and New Zealand-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,673.4968426370301,1541.5257802638869,FALSE
Australia and New Zealand-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,1057.0638283914982,1443.2147593034379,FALSE
Australia and New Zealand-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,173.4474370922644,1488.7203599216207,FALSE
Australia and New Zealand-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,806.9089692633811,1352.6917546036882,FALSE
Australia and New Zealand-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,499.6525811525812,1453.064031207462,FALSE
Australia and New Zealand-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,502.2350012551251,1353.9372498947407,FALSE
Australia and New Zealand-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,619.5566074095491,1350.5377391242082,FALSE
Australia and New Zealand-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,386.55737068661347,1391.5111582788224,FALSE
Australia and New Zealand-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,621.0945305495065,1440.6087483003478,FALSE
Eastern Asia-Eastern Europe,Multiple comparison test after Kruskal-Wallis,0.05,846.4140604116546,869.9203526785345,FALSE
Eastern Asia-Latin America and the Caribbean,Multiple comparison test after Kruskal-Wallis,0.05,1409.4903905190263,526.6553864613372,TRUE
Eastern Asia-Melanesia,Multiple comparison test after Kruskal-Wallis,0.05,1355.1042548900987,795.2173768682794,TRUE
Eastern Asia-Micronesia,Multiple comparison test after Kruskal-Wallis,0.05,843.6890502117362,1181.7297677043027,FALSE
Eastern Asia-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,961.2437074026589,614.9506196568567,TRUE
Eastern Asia-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,641.1867547534639,927.8420775815765,FALSE
Eastern Asia-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,257.6197689989958,753.2981024693946,FALSE
Eastern Asia-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,1488.1310344827584,837.1842686994729,TRUE
Eastern Asia-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,507.7746281271129,560.6818818951757,FALSE
Eastern Asia-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,815.0310162379128,772.0001738999746,TRUE
Eastern Asia-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,812.4485961353689,563.6801099606447,TRUE
Eastern Asia-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,695.1269899809449,555.4650074590106,TRUE
Eastern Asia-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,928.1262267038805,648.7622779779825,TRUE
Eastern Asia-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,693.5890668409875,748.2932282148528,FALSE
Eastern Europe-Latin America and the Caribbean,Multiple comparison test after Kruskal-Wallis,0.05,563.0763301073716,730.4112064801236,FALSE
Eastern Europe-Melanesia,Multiple comparison test after Kruskal-Wallis,0.05,508.690194478444,942.6055967032429,FALSE
Eastern Europe-Micronesia,Multiple comparison test after Kruskal-Wallis,0.05,2.7250101999184153,1285.54263964346,FALSE
Eastern Europe-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,114.82964699100421,796.4288411900723,FALSE
Eastern Europe-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,205.22730565819074,1056.8942971716262,FALSE
Eastern Europe-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,588.7942914126588,907.5200634955681,FALSE
Eastern Europe-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,641.7169740711038,978.2699700087295,FALSE
Eastern Europe-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,338.6394322845417,755.3137143919241,FALSE
Eastern Europe-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,31.383044173741837,923.1028669463661,FALSE
Eastern Europe-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,33.96546427628573,757.5420125829683,FALSE
Eastern Europe-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,151.28707043070972,751.4492723893264,FALSE
Eastern Europe-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,81.7121662922259,822.8165821069665,FALSE
Eastern Europe-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,152.82499357066717,903.3700182401534,FALSE
Latin America and the Caribbean-Melanesia,Multiple comparison test after Kruskal-Wallis,0.05,54.386135628927605,639.6169064531293,FALSE
Latin America and the Caribbean-Micronesia,Multiple comparison test after Kruskal-Wallis,0.05,565.80134030729,1083.154815539251,FALSE
Latin America and the Caribbean-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,448.2466831163674,393.5776609053873,TRUE
Latin America and the Caribbean-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,768.3036357655624,798.5173958520254,FALSE
Latin America and the Caribbean-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,1151.8706215200305,586.683169804107,TRUE
Latin America and the Caribbean-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,78.64064396373215,691.0981191591213,FALSE
Latin America and the Caribbean-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,901.7157623919134,301.83320432470595,TRUE
Latin America and the Caribbean-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,594.4593742811135,610.510752607188,FALSE
Latin America and the Caribbean-Southern Europe,Multiple comparison test after Kruskal-Wallis,0.05,597.0417943836574,307.3668441986684,TRUE
Latin America and the Caribbean-Sub-Saharan Africa,Multiple comparison test after Kruskal-Wallis,0.05,714.3634005380814,292.0282264762135,TRUE
Latin America and the Caribbean-Western Asia,Multiple comparison test after Kruskal-Wallis,0.05,481.36416381514573,444.55776213511905,TRUE
Latin America and the Caribbean-Western Europe,Multiple comparison test after Kruskal-Wallis,0.05,715.9013236780388,580.2429370010547,TRUE
Melanesia-Micronesia,Multiple comparison test after Kruskal-Wallis,0.05,511.41520467836244,1236.2156506089038,FALSE
Melanesia-Northern Africa,Multiple comparison test after Kruskal-Wallis,0.05,393.8605474874398,714.0785359806599,FALSE
Melanesia-Northern America,Multiple comparison test after Kruskal-Wallis,0.05,713.9175001366348,996.3106000955862,FALSE
Melanesia-Northern Europe,Multiple comparison test after Kruskal-Wallis,0.05,1097.4844858911028,836.1829477548089,TRUE
Melanesia-Polynesia,Multiple comparison test after Kruskal-Wallis,0.05,133.02677959265975,912.4808988081897,FALSE
Melanesia-South-eastern Asia,Multiple comparison test after Kruskal-Wallis,0.05,847.3296267629858,667.9132156331736,TRUE
Melanesia-Southern Asia,Multiple comparison test after Kruskal-Wallis,0.05,540.0732386521859,853.0698444052056,FALSE
