term,estimate,std.error,statistic,p.value
(Intercept),2799.954211119924,1348.2250983745184,2.0767705737681905,0.038
biometemperate,-11.728850862769288,3.785212502631944,-3.0985977285592163,0.002
biometropical,-11.14354931058699,4.477596345758373,-2.4887346804146993,0.013
DemersPelagbathypelagic,-13.688611555631363,4.955492278026763,-2.762311146428031,0.006
DemersPelagbenthopelagic,-11.186315551561128,3.049301927681695,-3.6684840717186025,0.001
DemersPelagdemersal,-11.899397671309368,3.0167602716496265,-3.944429321459651,0.001
DemersPelagpelagic-neritic,-11.611161632265627,3.0047505066634295,-3.8642681335825886,0.001
DemersPelagpelagic-oceanic,-14.50481176470275,2.9653462976786793,-4.8914394167242286,0.001
DemersPelagreef-associated,-12.418803735146279,3.0422894167048353,-4.08205861906371,0.001
latitude,0.16590195873107777,0.05296987334391084,3.1320059546668535,0.002
un_regionAmericas,-7.691153711876903,1.0016247533391684,-7.6786777545547915,0.001
un_regionAsia,4.084158781103916,1.1271016420432587,3.6235940298161364,0.001
un_regionOceania,-4.628998387435322,1.500347197117493,-3.0852847902996565,0.002
