term,estimate,std.error,statistic,p.value
(Intercept),2799.954211119924,1348.2250983745184,2.0767705737681905,0.03786412741973557
sst_toe,-0.4308358316911773,0.707197399633071,-0.6092158029918042,0.5424038923324896
bot_toe,0.057253448055803215,0.26743836873247995,0.21408090517136735,0.8304910574494841
categoryCategory B,-0.0036473733389494204,1.0517491426179704,-0.0034679118728545193,0.9972331245910064
categoryCategory C,-0.3045202847044286,0.932967260084952,-0.3263997545601978,0.7441330206697084
biometemperate,-11.728850862769288,3.785212502631944,-3.0985977285592163,0.0019531547163141585
biometropical,-11.14354931058699,4.477596345758373,-2.4887346804146993,0.012846089185300598
DemersPelagbathypelagic,-13.688611555631363,4.955492278026763,-2.762311146428031,0.0057564104362746405
DemersPelagbenthopelagic,-11.186315551561128,3.049301927681695,-3.6684840717186025,2.4605416431782833e-4
DemersPelagdemersal,-11.899397671309368,3.0167602716496265,-3.944429321459651,8.087915008098705e-5
DemersPelagpelagic,-5.495742504434078,7.460351454921371,-0.7366600002213972,0.46135721365320137
DemersPelagpelagic-neritic,-11.611161632265627,3.0047505066634295,-3.8642681335825886,1.1256823108308364e-4
DemersPelagpelagic-oceanic,-14.50481176470275,2.9653462976786793,-4.8914394167242286,1.0264568744146028e-6
DemersPelagreef-associated,-12.418803735146279,3.0422894167048353,-4.08205861906371,4.520373549317043e-5
latitude,0.16590195873107777,0.05296987334391084,3.1320059546668535,0.0017443059629322064
un_regionAmericas,-7.691153711876903,1.0016247533391684,-7.6786777545547915,1.8582870464225848e-14
un_regionAsia,4.084158781103916,1.1271016420432587,3.6235940298161364,2.9288096627836914e-4
un_regionEurope,-1.155547543236002,1.5225396354907574,-0.758960565820368,0.44790520943806766
un_regionOceania,-4.628998387435322,1.500347197117493,-3.0852847902996565,0.002042598001977755
