eez_name,eez_neighbour,variable,early,historical,mid,per_early,per_mid,per_mid_plot,per_early_plot
Albania,Greece,max_eez,0.2695972248733633,0.24230205819429262,0.3142464859216856,11.26,29.69,29.69,11.26
Albania,Greece,mean_eez,0.08872980363915504,0.08968203353098077,0.09620960262096187,-1.06,7.28,7.28,-1.06
Albania,Greece,min_eez,0.0508666471320204,0.0529140371354828,0.05168779888428976,-3.87,-2.32,-2.32,-3.87
Albania,Greece,n_spp,9,9,9,0,0,0,0
Albania,Greece,sd_eez,0.06937284535399436,0.05841700015606728,0.08328209833933316,18.75,42.56,42.56,18.75
Albania,Italy,max_eez,0.11023622047244094,0.11144906566819161,0.11815733952720202,-1.09,6.02,6.02,-1.09
Albania,Italy,mean_eez,0.08163278110143073,0.08377179545590653,0.08241518600414835,-2.55,-1.62,-1.62,-2.55
Albania,Italy,min_eez,0.05116882582758579,0.05202125816474844,0.049943762814466726,-1.64,-3.99,-3.99,-1.64
Albania,Italy,n_spp,8,8,8,0,0,0,0
Albania,Italy,sd_eez,0.022073829616040624,0.021133050212282595,0.024497263621698517,4.45,15.92,15.92,4.45
Albania,Montenegro,max_eez,0.8888888888888888,0.8333333333333334,0.8888888888888888,6.67,6.67,6.67,6.67
Albania,Montenegro,mean_eez,0.6531182317119126,0.6591737340862575,0.6600653205717807,-0.92,0.14,0.14,-0.92
Albania,Montenegro,min_eez,0.47266723356009066,0.5859649122807018,0.5789473684210527,-19.34,-1.2,-1.2,-19.34
Albania,Montenegro,n_spp,37,39,37,-5.13,-5.13,-5.13,-5.13
Albania,Montenegro,sd_eez,0.06174747505160954,0.04142652809206076,0.05301469325464254,49.05,27.97,27.97,49.05
Algeria,Balearic Island (Spain),max_eez,0.9674065628476085,0.9563427853777263,0.9565217391304348,1.16,0.02,0.02,1.16
Algeria,Balearic Island (Spain),mean_eez,0.5925346779935755,0.6160236249129666,0.5892786881864855,-3.81,-4.34,-4.34,-3.81
Algeria,Balearic Island (Spain),min_eez,0.15000307605764263,0.36438726251013315,0.13293671198082962,-58.83,-63.52,-50,-50
Algeria,Balearic Island (Spain),n_spp,56,59,56,-5.08,-5.08,-5.08,-5.08
